Designator,Mid X,Mid Y,Layer,Rotation
C1,40.0,31.0,bottom,180.0
C2,40.0,28.0,bottom,180.0
C3,35.0,21.0,bottom,180.0
C4,12.0,12.0,bottom,180.0
C5,20.0,12.0,bottom,180.0
C6,46.0,14.0,bottom,180.0
F1,7.0,41.0,bottom,180.0
J3,30.0,2.5,bottom,180.0
L1,6.0,18.0,bottom,180.0
LED_CHG1,8.0,32.0,bottom,180.0
R2_C1,16.0,32.0,bottom,180.0
R3,11.0,8.0,bottom,180.0
R4,11.0,4.0,bottom,180.0
R5,48.0,8.0,bottom,180.0
R6,42.0,5.0,bottom,180.0
R10,46.0,4.0,bottom,180.0
R13,44.0,46.0,bottom,180.0
R_CC1,28.0,50.5,bottom,180.0
R_CC2,34.0,50.5,bottom,180.0
U2,14.0,40.0,bottom,180.0
U3,10.0,26.0,bottom,180.0
U4,13.0,18.0,bottom,180.0
U6,41.0,9.0,bottom,180.0
U8,19.0,19.0,bottom,180.0
