LCSC Part Number,Quantity,Mfr.#
C15516,1,TPS63031DSKR
C908265,1,FS8205A
C12084,1,SN65HVD230DR
C2909013,1,DW01A
C725790,1,TP4056
C3020560,1,TYPE-C-31-M-12
C151169,1,JKS-SMD1812-500
C404767,1,VLS252010BX-4R7M
C965849,1,XL-TD1608SURC
C14663,3,0603B104K500CT
C3039694,2,CL21A106KAYNNNE
C29277,1,CL21A226MQQNNNE
C22765,1,RC0603FR-071K2L
C25819,2,RC0603FR-0747KL
C25804,1,RC0603FR-0710KL
C22787,1,RC0603FR-07120L
C21190,2,RC0603FR-071KL
C23186,2,RC0603FR-075K1L
C127488,6,SKRPADE010
C3759312,1,1N5817
C158012,3,B2B-XH-A(LF)(SN)
C2691448,3,PH-1x4-2.54
